epoch 11, exp Baseline0, tp 1449, tn 6700, fp 0, fn 43, recall 0.9711796, precision 1, f1 0.9853791, acc 0.994751 
epoch 11, exp Baseline1, tp 362, tn 6588, fp 112, fn 1130, recall 0.24262735, precision 0.76371306, f1 0.36826044, acc 0.8483887 
epoch 11, exp Proposal1, tp 1306, tn 6695, fp 5, fn 186, recall 0.8753351, precision 0.99618614, f1 0.9318587, acc 0.9766846 
epoch 11, exp Proposal0, tp 1395, tn 6698, fp 2, fn 97, recall 0.9349866, precision 0.99856836, f1 0.96573216, acc 0.98791504 
epoch 12, exp Baseline0, tp 1444, tn 6700, fp 0, fn 48, recall 0.9678284, precision 1, f1 0.9836512, acc 0.9941406 
epoch 12, exp Proposal1, tp 1378, tn 6698, fp 2, fn 114, recall 0.9235925, precision 0.9985507, f1 0.95961004, acc 0.98583984 
epoch 12, exp Baseline1, tp 287, tn 6543, fp 157, fn 1205, recall 0.19235925, precision 0.6463964, f1 0.2964876, acc 0.83374023 
epoch 12, exp Proposal0, tp 1399, tn 6700, fp 0, fn 93, recall 0.93766755, precision 1, f1 0.96783113, acc 0.98864746 
epoch 13, exp Baseline0, tp 1459, tn 6700, fp 0, fn 33, recall 0.977882, precision 1, f1 0.98881733, acc 0.9959717 
epoch 13, exp Proposal1, tp 1378, tn 6698, fp 2, fn 114, recall 0.9235925, precision 0.9985507, f1 0.95961004, acc 0.98583984 
epoch 13, exp Baseline1, tp 265, tn 6558, fp 142, fn 1227, recall 0.17761394, precision 0.65110564, f1 0.27909425, acc 0.83288574 
epoch 13, exp Proposal0, tp 1397, tn 6700, fp 0, fn 95, recall 0.9363271, precision 1, f1 0.96711665, acc 0.9884033 
epoch 14, exp Proposal1, tp 1425, tn 6699, fp 1, fn 67, recall 0.95509386, precision 0.99929875, f1 0.9766963, acc 0.9916992 
epoch 14, exp Baseline1, tp 213, tn 6514, fp 186, fn 1279, recall 0.1427614, precision 0.5338346, f1 0.22527762, acc 0.821167 
epoch 14, exp Baseline0, tp 1439, tn 6700, fp 0, fn 53, recall 0.96447724, precision 1, f1 0.98191744, acc 0.9935303 
epoch 14, exp Proposal0, tp 1406, tn 6699, fp 1, fn 86, recall 0.94235927, precision 0.9992893, f1 0.96998966, acc 0.9893799 
epoch 15, exp Proposal1, tp 1408, tn 6700, fp 0, fn 84, recall 0.9436997, precision 1, f1 0.97103447, acc 0.9897461 
epoch 15, exp Baseline0, tp 1449, tn 6700, fp 0, fn 43, recall 0.9711796, precision 1, f1 0.9853791, acc 0.994751 
epoch 15, exp Proposal0, tp 1389, tn 6697, fp 3, fn 103, recall 0.9309651, precision 0.9978448, f1 0.9632455, acc 0.98706055 
epoch 15, exp Baseline1, tp 223, tn 6520, fp 180, fn 1269, recall 0.1494638, precision 0.55334985, f1 0.2353562, acc 0.8231201 
epoch 16, exp Proposal0, tp 1386, tn 6696, fp 4, fn 106, recall 0.9289544, precision 0.9971223, f1 0.9618321, acc 0.98657227 
epoch 16, exp Proposal1, tp 1412, tn 6699, fp 1, fn 80, recall 0.9463807, precision 0.9992923, f1 0.97211707, acc 0.9901123 
epoch 16, exp Baseline0, tp 1450, tn 6700, fp 0, fn 42, recall 0.97184986, precision 1, f1 0.985724, acc 0.99487305 
epoch 16, exp Baseline1, tp 183, tn 6523, fp 177, fn 1309, recall 0.122654155, precision 0.5083333, f1 0.19762419, acc 0.8186035 
epoch 17, exp Proposal1, tp 1432, tn 6700, fp 0, fn 60, recall 0.9597855, precision 1, f1 0.9794802, acc 0.9926758 
epoch 17, exp Baseline1, tp 157, tn 6506, fp 194, fn 1335, recall 0.10522788, precision 0.44729346, f1 0.1703744, acc 0.8133545 
epoch 17, exp Baseline0, tp 1456, tn 6700, fp 0, fn 36, recall 0.9758713, precision 1, f1 0.9877883, acc 0.99560547 
epoch 17, exp Proposal0, tp 1397, tn 6696, fp 4, fn 95, recall 0.9363271, precision 0.9971449, f1 0.9657795, acc 0.98791504 
epoch 18, exp Baseline0, tp 1456, tn 6700, fp 0, fn 36, recall 0.9758713, precision 1, f1 0.9877883, acc 0.99560547 
epoch 18, exp Proposal1, tp 1433, tn 6700, fp 0, fn 59, recall 0.9604558, precision 1, f1 0.9798291, acc 0.99279785 
epoch 18, exp Proposal0, tp 1405, tn 6700, fp 0, fn 87, recall 0.941689, precision 1, f1 0.9699689, acc 0.9893799 
epoch 18, exp Baseline1, tp 145, tn 6529, fp 171, fn 1347, recall 0.097184986, precision 0.45886075, f1 0.16039823, acc 0.81469727 
epoch 19, exp Baseline0, tp 1455, tn 6700, fp 0, fn 37, recall 0.9752011, precision 1, f1 0.9874448, acc 0.9954834 
epoch 19, exp Proposal0, tp 1416, tn 6697, fp 3, fn 76, recall 0.9490617, precision 0.9978858, f1 0.9728615, acc 0.99035645 
epoch 19, exp Proposal1, tp 1433, tn 6700, fp 0, fn 59, recall 0.9604558, precision 1, f1 0.9798291, acc 0.99279785 
epoch 19, exp Baseline1, tp 156, tn 6518, fp 182, fn 1336, recall 0.10455764, precision 0.46153846, f1 0.1704918, acc 0.81469727 
epoch 20, exp Baseline0, tp 1456, tn 6700, fp 0, fn 36, recall 0.9758713, precision 1, f1 0.9877883, acc 0.99560547 
epoch 20, exp Proposal1, tp 1420, tn 6699, fp 1, fn 72, recall 0.95174265, precision 0.99929625, f1 0.97493994, acc 0.99108887 
epoch 20, exp Baseline1, tp 166, tn 6508, fp 192, fn 1326, recall 0.11126006, precision 0.46368715, f1 0.17945945, acc 0.81469727 
epoch 20, exp Proposal0, tp 1409, tn 6698, fp 2, fn 83, recall 0.94437, precision 0.99858254, f1 0.97071993, acc 0.989624 
epoch 21, exp Baseline1, tp 148, tn 6495, fp 205, fn 1344, recall 0.09919571, precision 0.41926345, f1 0.16043362, acc 0.8109131 
epoch 21, exp Proposal0, tp 1422, tn 6700, fp 0, fn 70, recall 0.9530831, precision 1, f1 0.9759781, acc 0.9914551 
epoch 21, exp Proposal1, tp 1421, tn 6700, fp 0, fn 71, recall 0.95241284, precision 1, f1 0.97562647, acc 0.991333 
epoch 21, exp Baseline0, tp 1453, tn 6700, fp 0, fn 39, recall 0.97386056, precision 1, f1 0.9867572, acc 0.99523926 
epoch 22, exp Proposal1, tp 1422, tn 6700, fp 0, fn 70, recall 0.9530831, precision 1, f1 0.9759781, acc 0.9914551 
epoch 22, exp Proposal0, tp 1421, tn 6700, fp 0, fn 71, recall 0.95241284, precision 1, f1 0.97562647, acc 0.991333 
epoch 22, exp Baseline1, tp 136, tn 6513, fp 187, fn 1356, recall 0.09115282, precision 0.42105263, f1 0.14986226, acc 0.8116455 
epoch 22, exp Baseline0, tp 1446, tn 6700, fp 0, fn 46, recall 0.9691689, precision 1, f1 0.9843431, acc 0.99438477 
epoch 23, exp Proposal1, tp 1410, tn 6700, fp 0, fn 82, recall 0.9450402, precision 1, f1 0.97174364, acc 0.98999023 
